country,year,pharma_imports
GAB,2021,104988908.489
GAB,2022,106040293.095
GAB,2023,110952498.61
GBR,2014,33727712249.0
GBR,2015,33744349262.0
GBR,2016,32754072887.0
GBR,2017,33093224013.21
GBR,2018,30268870062.679
GBR,2019,27996207774.748
GBR,2020,26106398888.429
GBR,2021,26947380227.619
GBR,2022,32882658985.069
GBR,2023,27348400605.44
GBR,2024,29763956211.215
GEO,2014,364796688.16
GEO,2015,352242057.41
GEO,2016,367671548.83
GEO,2017,391134149.09
GEO,2018,385200580.77
GEO,2019,409393341.36
GEO,2020,395354755.54
GEO,2021,525900525.5
GEO,2022,483513467.882
GEO,2023,651010653.913
GEO,2024,755084879.068
GHA,2014,281203396.441
GHA,2015,384123645.608
GHA,2016,154964417.0
GHA,2017,272063324.489
GHA,2018,282741876.758
GHA,2019,226571631.88
GHA,2021,333767118.694
GHA,2022,269352057.948
GHA,2023,273197195.364
GIN,2014,94813207.0
GIN,2015,125820397.0
GIN,2016,177444074.24
GMB,2014,8063347.297
GMB,2015,7385642.106
GMB,2016,6808807.467
GMB,2017,5096094.595
GMB,2018,5272063.539
GMB,2019,5258761.104
GMB,2020,4779592.917
GMB,2021,7234043.29
GMB,2022,8538248.757
GMB,2023,7718259.735
GMB,2024,6473527.656
GNB,2014,2444613.268
GNB,2015,2025167.255
GNB,2016,2054724.002
GNB,2017,1296890.063
GNB,2018,3056908.327
GRC,2014,3464868404.0
GRC,2015,2980909572.0
GRC,2016,3026552409.0
GRC,2017,3282476266.349
GRC,2018,3352418519.994
GRC,2019,3085580371.259
GRC,2020,3540917695.13
GRC,2021,4255121495.562
GRC,2022,4173361866.97
GRC,2023,4377722408.193
GRC,2024,4294701556.693
GRD,2014,5733487.6
GRD,2015,9451795.733
GRD,2016,6195947.878
GRD,2017,5383844.987
GRD,2018,6853423.147
GRD,2019,7002662.412
GRD,2020,9389044.455
GRD,2021,9050739.25
GRD,2022,7862021.103
GRD,2023,10412335.277
GRD,2024,9267508.894
GRL,2014,18667174.27
GRL,2015,19200776.58
GRL,2016,15296852.9
GRL,2017,16138660.17
GRL,2018,17853199.48
GTM,2014,584846086.0
GTM,2015,677284580.0
GTM,2016,633475823.0
GTM,2017,615385143.0
GTM,2018,656498804.0
GTM,2019,665888248.0
GTM,2020,687214804.0
GTM,2021,919957816.0
GTM,2022,1100196376.0
GTM,2023,991227648.0
GTM,2024,1120442042.0
GUY,2014,25089276.0
GUY,2015,24267444.855
GUY,2016,13321488.0
GUY,2017,51123262.911
GUY,2018,32665984.81
GUY,2019,31797982.955
GUY,2020,15829022.709
GUY,2021,45468423.922
GUY,2022,35469074.331
GUY,2023,29461166.507
GUY,2024,34475015.816
HKG,2014,2141471607.0
HKG,2015,2372118663.456
HKG,2016,2475943569.523
HKG,2017,2670007872.357
HKG,2018,2908108937.961
HKG,2019,2785533923.936
HKG,2020,2867283943.74
HKG,2021,2981880991.62
HKG,2022,4180051868.277
HKG,2023,3786510407.173
HKG,2024,3657300797.317
HND,2014,350318718.0
HND,2015,405580169.0
HND,2016,458044606.0
HND,2017,413608458.97
HND,2018,496918194.13
HND,2019,507883642.19
HND,2020,519555239.19
HND,2021,684307836.33
HND,2023,771162023.92
HND,2024,757104313.51
HRV,2014,858484000.0
HRV,2015,843866247.0
HRV,2016,1270403644.0
HRV,2017,1126584767.0
HRV,2018,1311388637.0
HRV,2019,1415404628.0
HRV,2020,1783652242.0
HRV,2021,1799442952.0
HRV,2022,1749108844.0
HRV,2023,1845814892.0
HRV,2024,2059517150.0
HUN,2014,3876532137.0
HUN,2015,3887408026.0
HUN,2016,3820366617.0
HUN,2017,4175404304.0
HUN,2018,5159372635.0
HUN,2019,4869129942.0
HUN,2020,6062406415.0
HUN,2021,5925626881.0
HUN,2022,5147406857.0
HUN,2023,6079609309.0
HUN,2024,8014876905.0
IDN,2014,710231987.0
IDN,2015,739008378.0
IDN,2016,801788557.0
IDN,2017,924523906.0
IDN,2018,990531103.0
IDN,2019,912232257.0
IDN,2020,1158791394.0
IDN,2021,4359646188.0
IDN,2022,1511567183.0
IDN,2023,1278852361.0
IDN,2024,1296153251.0
IDN,2025,742761474.28
IND,2014,1631153579.0
IND,2015,1618037595.0
IND,2016,1697797871.0
IND,2017,1809322574.626
IND,2018,2064096677.747
IND,2019,2525996360.032
IND,2020,2477412233.658
IND,2021,3297325337.413
IND,2022,2730438575.194
IND,2023,2602354853.94
IND,2024,2797481201.604
IRL,2014,5133720037.495
IRL,2015,5554998172.358
IRL,2016,6015444776.814
IRL,2017,9430695326.603
IRL,2018,12784477756.835
IRL,2019,7611690293.46
IRL,2020,9269236396.029
IRL,2021,10960263090.119
IRL,2022,11629991854.137
IRL,2023,13449100670.884
IRL,2024,16616214684.329
IRN,2014,1534780349.31
IRN,2015,1444181129.0
IRN,2016,1456460462.86
IRN,2017,1568905741.0
IRN,2018,1577328278.0
IRN,2019,1346962388.0
IRN,2020,1238564653.0
IRN,2021,1925289402.0
IRN,2022,1920877210.0
IRQ,2014,1403113272.0
ISL,2014,140285268.0
ISL,2015,122430167.0
ISL,2016,161716597.0
ISL,2017,150851744.535
ISL,2018,169983563.327
ISL,2019,159316114.183
ISL,2020,187220748.386
ISL,2021,239435167.99
ISL,2022,234123290.323
ISL,2023,238692823.938
ISL,2024,266744912.089
ISR,2014,1898996000.0
ISR,2015,1915673000.0
ISR,2016,2006524000.0
ISR,2017,2171408000.0
ISR,2018,2433621000.0
ISR,2019,2770865000.0
ISR,2020,3309843000.0
ISR,2021,3663550000.0
ISR,2022,3610044000.0
ISR,2023,3545165000.0
ISR,2024,3631190000.0
ITA,2014,21543741450.0
ITA,2015,20628186915.215
ITA,2016,21338026827.602
ITA,2017,23481446765.524
ITA,2018,26823186226.092
ITA,2019,27210952253.999
ITA,2020,28544856164.579
ITA,2021,30829217951.172
ITA,2022,34710077621.661
ITA,2023,32730945644.734
ITA,2024,32097757388.996
JAM,2014,145999694.511
JAM,2015,152756078.0
JAM,2016,149106466.0
JAM,2017,191236965.17
JAM,2018,166336777.51
JAM,2019,165744545.901
JAM,2020,169734400.43
JAM,2021,177022192.17
JAM,2022,194545628.18
JAM,2023,197666345.69
JOR,2014,514445742.0
JOR,2015,542738579.0
JOR,2016,589329924.0
JOR,2017,557229140.962
JOR,2018,579770031.611
JOR,2019,550838015.676
JOR,2020,604999060.853
JOR,2021,703667541.354
JOR,2022,684331359.299
JOR,2023,775230180.928
JOR,2024,827687414.7
JPN,2014,19899056571.0
JPN,2015,23186439974.0
JPN,2016,24387663582.0
JPN,2017,22450540870.034
JPN,2018,25676381894.217
JPN,2019,27321972362.975
JPN,2020,28641622388.973
JPN,2021,37288913304.114
JPN,2022,39038229698.707
JPN,2023,30825491903.736
JPN,2024,30222527972.576
JPN,2025,31149599443.085
KAZ,2014,1420263076.0
KAZ,2015,1222661849.0
KAZ,2016,961213685.0
KAZ,2017,1085415907.88
KAZ,2018,1185147037.68
KAZ,2019,1156638164.23
KAZ,2020,1554587033.517
KAZ,2021,1711356035.596
KAZ,2022,1862688120.87
KAZ,2023,1951719973.21
KAZ,2024,2342986981.0
KEN,2015,605722761.98
KEN,2016,574673385.53
KEN,2017,518406641.774
KEN,2018,558596712.391
KEN,2019,557236360.05
KEN,2020,690230614.251
KEN,2021,776758899.425
KEN,2022,757889350.88
KEN,2023,612456005.923
KEN,2024,705193931.609
KGZ,2014,199363208.0
KGZ,2015,147833067.0
KGZ,2016,117059685.0
KGZ,2017,181584275.0
KGZ,2018,163232660.0
KGZ,2019,189172242.0
KGZ,2020,195490172.0
KGZ,2021,189776080.0
KGZ,2022,238499154.0
KGZ,2023,231591857.0
KGZ,2024,238369478.0
KHM,2014,153137713.0
KHM,2015,164323325.0
KHM,2016,167019000.0
KHM,2017,183390390.68
KHM,2018,200181846.71
KHM,2019,231040980.39
KHM,2020,241611033.26
KHM,2021,311903554.64
KHM,2022,368396704.7
KHM,2023,339194569.69
KHM,2024,267397327.71
KIR,2014,681094.801
KIR,2015,842655.918
KIR,2016,754434.82
KIR,2017,493798.628
KIR,2018,1093430.889
KIR,2020,512446.902
KIR,2021,429873.601
KNA,2014,3101686.0
KNA,2015,3186748.873
KNA,2016,3917586.216
KNA,2017,4220858.024
KOR,2014,4841305206.0
KOR,2015,4761164558.0
KOR,2016,5531105657.0
KOR,2017,5604320793.0
KOR,2018,6496338496.0
KOR,2019,7093611497.0
KOR,2020,7996857197.0
KOR,2021,10450088192.0
KOR,2022,10995436146.0
KOR,2023,9952802780.0
KOR,2024,9471990098.0
KWT,2014,961836075.0
KWT,2015,1084692686.402
KWT,2016,1138553162.631
KWT,2017,1365661815.75
KWT,2018,1326662066.0
KWT,2019,1390645844.0
KWT,2020,1591148446.0
KWT,2021,1665824378.0
KWT,2022,1590214562.422
KWT,2023,1881029378.0
KWT,2024,2327119021.0
LAO,2014,25914910.0
LAO,2015,25288715.0
LAO,2016,17128621.0
LAO,2017,21503382.0
LAO,2018,28228825.0
LAO,2019,31838686.02
LAO,2020,31671194.31
LAO,2021,78943097.14
LAO,2022,61388119.11
LAO,2023,32974805.01
LBN,2014,1140674040.0
LBN,2015,1125406020.079
LBN,2016,1213949428.0
LBN,2017,1287910358.0
LBN,2018,1329246319.0
LBN,2019,1242450570.3
LBN,2020,1184268400.0
LBN,2021,900232422.0
LBN,2022,551818309.0
LBN,2023,621245298.0
LBN,2024,736677656.0
LBR,2017,36752826.0
LBR,2018,29009674.04
LBR,2019,28167727.66
LBR,2020,39904587.13
LBR,2021,64809606.28
LBR,2022,34745675.85
LBR,2023,25184540.77
LBY,2016,319873029.0
LBY,2017,343885984.892
LBY,2018,542717669.258
LBY,2019,390655925.0
LCA,2014,6468880.0
LCA,2015,6962582.0
LCA,2016,10434132.0
LCA,2017,10827959.568
LCA,2018,14722382.54
LCA,2019,8834613.01
LCA,2020,9146397.81
LKA,2014,332962867.0
LKA,2015,401746279.0
LKA,2016,449829723.0
LKA,2017,435133495.227
LKA,2019,449808878.994
LKA,2020,496693011.309
LKA,2021,814940178.47
LKA,2022,448318771.99
LKA,2023,562854000.278
LKA,2024,452631031.227
LSO,2014,19802299.888
LSO,2015,25956647.096
LSO,2016,48668371.705
LSO,2017,44284114.105
LSO,2018,35898698.272
LSO,2019,48876614.101
LSO,2020,51151544.346
LSO,2021,40367941.044
LSO,2022,40262257.395
LSO,2023,28605259.952
LSO,2024,33602698.571
LTU,2014,1053072068.0
LTU,2015,1070924166.0
LTU,2016,1062171992.99
LTU,2017,1141916243.0
LTU,2018,1194620266.0
LTU,2019,1390448470.0
LTU,2020,1466667549.0
LTU,2021,1613170735.0
LTU,2022,1601166771.0
LTU,2023,1776082854.0
LTU,2024,1928015150.0
LUX,2014,473174953.0
LUX,2015,413512965.0
LUX,2016,440697940.0
LUX,2017,475744691.577
LUX,2018,529995687.551
LUX,2019,529315025.598
LUX,2020,568977153.197
LUX,2021,624801826.1
LUX,2022,656005708.354
LUX,2023,741044483.532
LUX,2024,836044682.854
LVA,2014,643102093.148
LVA,2015,563260887.188
LVA,2016,624233497.1
LVA,2017,666586185.142
LVA,2018,701406345.147
LVA,2019,722728780.716
