country,year,pharma_imports,fuel_imports,oil_exports,conflict_incidence,conflict_intensity,regime_score,leader_change,gdp_growth,inflation,unemployment
BIH,2006.0,182449167.0,1167347672.0,280257446.0,,,,0.0,5.41400299607282,6.12556615620285,31.11
BIH,2007.0,223719333.0,1364314216.0,330354819.0,,,,0.0,5.85911689412598,1.50077710611542,28.984
BIH,2008.0,290406598.0,1996872575.0,494107725.0,,,,0.0,5.44184730165964,7.42704310332953,23.405
BIH,2009.0,283875038.0,1278413955.0,521837656.0,,,,0.0,-3.0044555389081,-0.381464282453057,24.068
BIH,2010.0,287533700.0,1779665923.0,724639164.0,,,,0.0,0.865667236280544,1.99621236745887,27.312
BIH,2011.0,320006974.0,2377775403.0,817495994.0,,,,0.0,0.959511709726897,3.67125,27.582
BIH,2012.0,314662360.0,2056962058.0,462566062.0,,,,0.0,-0.821837252962993,2.05267452001717,28.01
BIH,2013.0,321669175.0,2001384963.0,647748578.0,,,,0.0,2.34985873172397,-0.0930456838317588,27.49
BIH,2014.0,375735592.0,1835457245.0,565999718.0,,,,0.0,1.15384793371298,-0.897194054194333,27.517
BIH,2015.0,298494540.0,1215579283.0,357575265.0,,,,0.0,4.28413016137854,-1.03602303425474,27.695
BIH,2016.0,306413927.0,1094333743.0,362509760.0,,,,0.0,3.24225822231566,-1.58410000000002,25.408
BIH,2017.0,313732740.59,1521641274.29,532650133.26,,,,0.0,3.24409895306594,0.810133321953039,20.527
BIH,2018.0,344048097.21,1717913653.47,702530871.69,,,,0.0,3.82900399349064,1.41710814018034,18.4
BIH,2019.0,362096882.53,1564306081.76,532288276.3,,,,0.0,2.88585242083978,0.56278215406123,15.692
BIH,2020.0,388653760.0,954759399.26,414935752.34,,,,0.0,-3.01509335460439,-1.0512960076349,15.868
BIH,2021.0,473029651.51,1553261865.65,735283832.14,,,,0.0,7.39164256472846,1.98163900587622,14.897
BIH,2022.0,420871869.01,2536108838.6,965809326.62,,,,0.0,4.22681333390325,14.0208440826771,12.657
BIH,2023.0,477353810.303,2029048307.749,878794247.199,,,,0.0,1.99439414850893,6.1059011284828,10.668
BIH,2024.0,525759687.586,1934005927.098,578120620.564,,,,0.0,2.9715174617652,1.69212733599724,10.69
BLM,2011.0,,,,1.0,2.0,,,,,
BLM,2012.0,,,,1.0,2.0,,,,,
BLM,2013.0,,,,1.0,2.0,,,,,
BLM,2014.0,,,,1.0,2.0,,,,,
BLM,2015.0,,,,1.0,2.0,,,,,
BLM,2016.0,,,,1.0,2.0,,,,,
BLM,2017.0,,,,1.0,2.0,,,,,
BLM,2018.0,,,,1.0,2.0,,,,,
BLM,2019.0,,,,1.0,2.0,,,,,
BLM,2020.0,,,,1.0,2.0,,,,,
BLM,2021.0,,,,1.0,1.0,,,,,
BLM,2022.0,,,,1.0,1.0,,,,,
BLM,2023.0,,,,1.0,2.0,,,,,
BLM,2024.0,,,,1.0,2.0,,,,,
BLR,1995.0,,,,,,0.0,0.0,-10.4000003781854,709.346032118606,17.7
BLR,1996.0,,,,,,-7.0,0.0,2.80000456599095,52.7120767531954,24.4
BLR,1997.0,,,,,,-7.0,0.0,11.4000054007553,63.9373663357478,17.1
BLR,1998.0,177764912.0,2038997888.0,550355584.0,,,-7.0,0.0,8.3999913697987,72.8697170535354,14.0
BLR,1999.0,146686720.0,1526339200.0,535566368.0,,,-7.0,0.0,3.3999992040046,293.678750889773,12.8
BLR,2000.0,207504800.0,2585865400.0,1452443800.0,,,-7.0,0.0,5.80000327485702,168.620235850934,12.193
BLR,2001.0,157081800.0,2224035500.0,1324591100.0,,,-7.0,0.0,4.72530605111095,61.1349331618476,11.561
BLR,2002.0,160492100.0,2334999700.0,1624412100.0,,,-7.0,0.0,5.04526758311702,42.5375481348794,10.874
BLR,2003.0,188277300.0,3039159300.0,2194124600.0,,,-7.0,0.0,7.04319246586394,28.3978399133474,10.191
BLR,2004.0,230193900.0,4526573700.0,3697820000.0,,,-7.0,0.0,11.4497432088167,18.1082424937646,9.463
BLR,2005.0,259052700.0,5524082800.0,5557092400.0,,,-7.0,0.0,9.40000151584914,10.3388794457932,8.759
BLR,2006.0,320890600.0,7324939500.0,7562913300.0,,,-7.0,0.0,9.99999473022963,6.99712903535585,8.066
BLR,2007.0,376362600.0,10087675200.0,8512843900.0,,,-7.0,0.0,8.60000659811426,8.42675273505309,7.41
BLR,2008.0,495179700.0,13967611200.0,12089915100.0,,,-7.0,0.0,10.1999994860937,14.8378764828254,6.728
BLR,2009.0,547400900.0,11291926400.0,7977277100.0,,,-7.0,0.0,0.199995231733979,12.9456563410401,6.1
BLR,2010.0,555351300.0,12058075700.0,7015971400.0,,,-7.0,0.0,7.75001707500896,7.735748043125,6.052
BLR,2011.0,603531500.0,18723283300.0,14516830300.0,,,-7.0,0.0,5.54997471638077,53.2286983118174,6.024
BLR,2012.0,647510900.0,17869989300.0,16390888100.0,,,-7.0,0.0,1.70785253368828,59.2197360232518,5.962
BLR,2013.0,756819700.0,12567722300.0,12043523500.0,,,-7.0,0.0,0.998719299661161,18.3122610377873,5.942
BLR,2014.0,817507300.0,11848920800.0,12084114300.0,,,-7.0,0.0,1.65112470228097,18.1195543526734,5.908
BLR,2015.0,610804500.0,9211203500.0,7768494200.0,,,-7.0,0.0,-3.82957056812593,13.5344897649735,5.881
BLR,2016.0,599016400.0,7372958100.0,4848592800.0,,,-7.0,0.0,-2.5264464460425,11.8365807653496,5.844
BLR,2017.0,714466500.0,9670046300.0,6891102100.0,,,-7.0,0.0,2.53218349471909,6.03183725177785,5.648
BLR,2018.0,730602600.0,11085604000.0,8477297600.0,,,-7.0,0.0,3.14919758275296,4.8723022055069,4.763
BLR,2019.0,845158600.0,9785626300.0,6821221800.0,,,,0.0,1.44645548204305,5.59815595039854,4.165
BLR,2020.0,1003827700.0,6684641300.0,3680387200.0,,,,0.0,-0.672742918585868,5.54814357456511,4.049
BLR,2021.0,980000000.0,,,,,,0.0,2.43886210234947,9.46028389623106,3.9
BLR,2022.0,,,,,,,0.0,-4.65839591328999,15.209675274081,3.574
BLR,2023.0,,,,,,,0.0,4.12654007153881,5.00059903091313,3.461
BLR,2024.0,,,,,,,0.0,4.00984852465452,5.78531910427999,3.458
BLZ,1995.0,4107486.0,30151066.0,5141907.0,,,,,0.731558011871286,2.88961584372151,12.48
BLZ,1996.0,4370654.0,29242046.0,3163249.0,,,,,1.10530578663676,5.96502097537242,13.82
BLZ,1997.0,4863394.0,37110762.0,3726454.0,,,,,4.2346158780441,1.1490375676054,12.68
BLZ,1998.0,5861443.0,33321060.0,1806514.0,,,,,3.89301999542513,2.1952625003759,14.31
BLZ,1999.0,494549.0,133669344.0,90940528.0,,,,,9.42319471476534,2.62139524582746,12.84
BLZ,2000.0,6781767.0,76594637.0,4101662.0,,,,,12.2406120663359,3.06743966930585,10.841
BLZ,2001.0,7462893.0,73626503.0,,,,,,4.99356206143864,3.65141786561502,9.07
BLZ,2002.0,7969386.0,58871310.0,,,,,,5.39907320663811,4.24026660688645,10.04
BLZ,2003.0,8980436.0,39811400.5,136318.0,,,,,9.66522679614125,2.31808274663101,10.342
BLZ,2004.0,6995534.5,47816307.5,193330.5,,,,,4.78066505273344,6.39443099742399,10.586
BLZ,2005.0,6716951.0,81820005.0,5694979.5,,,,,2.2191905367057,-1.1043104441191,10.91
BLZ,2006.0,7359568.0,107046988.0,45008461.0,,,,,4.51145460193301,-7.11376771265014,9.39
BLZ,2007.0,8650811.0,110536869.0,72417376.0,,,,,3.33939738340764,2.31808274642021,8.51
BLZ,2008.0,8888191.0,135993666.0,118797105.0,,,,,-1.62747776449082,6.39443100250034,8.18
BLZ,2009.0,8804849.185,85376629.96,74710450.21,,,,,-0.446709636828217,-1.10431044864355,8.323
BLZ,2010.0,9322864.115,112446491.495,108869921.465,,,,,1.41741099233461,0.917977378808888,8.412
BLZ,2011.0,7309795.52,125060336.485,153499986.795,,,,,-0.13007112300869,1.602056156402,8.424
BLZ,2012.0,9510521.0,138467080.0,102322568.0,,,,,3.94389321816617,1.30058074547858,8.378
